0.003658, 0.146313, 50
0.012705, 0.180943, 50
0.027779, 0.301489, 50
0.048875, 0.421920, 50
0.075985, 0.542200, 50
0.109101, 0.662310, 50
0.148213, 0.782247, 50
0.193315, 0.902032, 50
0.244401, 1.021714, 50
0.301469, 1.141374, 50
0.364526, 1.261135, 50
0.433584, 1.381162, 50
0.508668, 1.501673, 50
0.589815, 1.622936, 50
0.677078, 1.745272, 50
0.770531, 1.869054, 50
0.870266, 1.994697, 50
0.976398, 2.122649, 50
1.089067, 2.253375, 50
1.208434, 2.387334, 50
1.334681, 2.524956, 50
1.468012, 2.666621, 50
1.608644, 2.812633, 50
1.756804, 2.963206, 50
1.912727, 3.118454, 50
2.076646, 3.278388, 50
2.248793, 3.442930, 50
2.429389, 3.611928, 50
2.618649, 3.785185, 50
2.816773, 3.962481, 50
3.023953, 4.143610, 50
3.240373, 4.328405, 50
3.466212, 4.516768, 50
3.701646, 4.708687, 50
3.946859, 4.904261, 50
4.202045, 5.103710, 50
4.467414, 5.307389, 50
4.736143, 5.374570, 50
5.000775, 5.292639, 50
5.260765, 5.199813, 50
5.515919, 5.103079, 50
5.766053, 5.002673, 50
6.010988, 4.898705, 50
6.250547, 4.791175, 50
6.484546, 4.679992, 50
6.712796, 4.564996, 50
6.935095, 4.445985, 50
7.151232, 4.322740, 50
7.360985, 4.195061, 50
7.564125, 4.062790, 50
7.760417, 3.925843, 50
7.949628, 3.784221, 50
8.131530, 3.638029, 50
8.305903, 3.487470, 50
8.472545, 3.332841, 50
8.631271, 3.174512, 50
8.781916, 3.012911, 50
8.924341, 2.848495, 50
9.058427, 2.681726, 50
9.184080, 2.513055, 50
9.301225, 2.342900, 50
9.409807, 2.171637, 50
9.509787, 1.999594, 50
9.601139, 1.827042, 50
9.683849, 1.654204, 50
9.757911, 1.481250, 50
9.823327, 1.308306, 50
9.880100, 1.135458, 50
9.928237, 0.962757, 50
9.967749, 0.790227, 50
9.998642, 0.617868, 50
10.020925, 0.445660, 50
10.034604, 0.273571, 50
10.039682, 0.101560, 50
10.040071, 0.007784, 50
10.040071, 0.000000, 50
